NIK,Nama,Alamat,Keterangan
3201011505850001,Budi Contoh,"Jl. Merdeka No. 1, Bogor",Reguler
1201014312900002,Siti Sampel,"Jl. Sisingamangaraja No. 2, Tapanuli Tengah",Reguler
5101012007750003,Andi Uji,"Jl. Pahlawan No. 3, Jembrana",Reguler
3501015003000004,Dewi Coba,"Jl. Contoh Raya No. 4, Pacitan",Cadangan
7301012512150005,Rina Eksperimen,"Jl. Latihan No. 5, Kepulauan Selayar",Reguler
14010122098800061,Doni Percobaan,"Jl. Uji Coba No. 6, Kampar",Cadangan
180104120682000X,Lina Uji Coba,"Jl. Simulasi No. 7, Lampung Selatan",Reguler
5101010808880008,Made Latihan,"Jl. Fiktif No. 8, Jembrana",Cadangan
7101050502990009,Joko Simulasi,"Jl. Dummy No. 9, Bolaang Mongondow",Reguler
6201015406120010,Sri Pengujian,"Jl. Ilustrasi No. 10, Kotawaringin Barat",Cadangan
